0.9875,nan,nan,nan,nan
0.9865,0.9605,nan,nan,nan
0.977,0.9575,0.9985,nan,nan
0.957,0.9025,0.9875,0.9985,nan
0.9515,0.755,0.9985,0.999,0.9965
