0.9834,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.9805,0.9763,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.9767,0.9694,0.975,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.9697,0.9594,0.9642,0.9758,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.9648,0.9503,0.9563,0.971,0.9723,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.957,0.9457,0.9468,0.9604,0.9681,0.9701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.9507,0.9103,0.9288,0.9503,0.961,0.9641,0.9704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.9339,0.8782,0.9054,0.9163,0.9372,0.9557,0.9553,0.9678,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.9342,0.8851,0.8488,0.9004,0.9258,0.9368,0.929,0.9594,0.9677,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.897,0.8082,0.7838,0.8729,0.9081,0.9228,0.9171,0.9334,0.9522,0.9644,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.8724,0.7808,0.7698,0.8422,0.8964,0.9044,0.8792,0.8982,0.9421,0.9511,0.963,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.8665,0.7972,0.817,0.8619,0.8528,0.8939,0.7992,0.8762,0.9276,0.935,0.9517,0.9641,nan,nan,nan,nan,nan,nan,nan,nan
0.8605,0.8337,0.813,0.8328,0.8548,0.8858,0.7763,0.8713,0.917,0.902,0.9357,0.9495,0.9613,nan,nan,nan,nan,nan,nan,nan
0.8494,0.8087,0.7632,0.7767,0.8617,0.8827,0.7146,0.8353,0.8707,0.8665,0.9284,0.943,0.9494,0.9578,nan,nan,nan,nan,nan,nan
0.8333,0.789,0.7313,0.7874,0.8471,0.848,0.6428,0.8083,0.8775,0.8716,0.8969,0.8995,0.9386,0.9414,0.9551,nan,nan,nan,nan,nan
0.77,0.7375,0.7627,0.8013,0.7381,0.7528,0.5865,0.719,0.8428,0.862,0.8671,0.8368,0.8946,0.9041,0.9296,0.9538,nan,nan,nan,nan
0.7159,0.7684,0.6998,0.7721,0.7185,0.7149,0.6318,0.7038,0.8185,0.8561,0.8609,0.8404,0.8951,0.8641,0.9179,0.9347,0.9521,nan,nan,nan
0.7509,0.7509,0.662,0.7141,0.7065,0.7316,0.6414,0.7179,0.7855,0.8687,0.8095,0.8025,0.8873,0.8663,0.8832,0.9186,0.9419,0.9481,nan,nan
0.7688,0.7818,0.6749,0.7496,0.6699,0.6966,0.6771,0.7331,0.7899,0.8534,0.7786,0.8332,0.8491,0.8274,0.88,0.9121,0.9236,0.9358,0.9496,nan
0.7508,0.7282,0.6585,0.7153,0.6787,0.6966,0.7172,0.6828,0.7216,0.8326,0.788,0.8177,0.8589,0.8279,0.8664,0.8792,0.902,0.9199,0.9343,0.9525
