0.9821,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.9716,0.9731,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.9656,0.9653,0.9724,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.9512,0.9596,0.9601,0.9675,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.952,0.954,0.9549,0.9635,0.9683,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.9453,0.9413,0.9425,0.9451,0.9583,0.9653,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.9299,0.9285,0.9222,0.942,0.9508,0.9556,0.9628,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.9176,0.8953,0.9029,0.9315,0.9211,0.9438,0.9378,0.9585,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.9012,0.8726,0.8792,0.8885,0.9089,0.9301,0.9264,0.9488,0.9581,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.8777,0.8231,0.8257,0.8748,0.8825,0.8931,0.9028,0.9235,0.9486,0.956,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.8628,0.8144,0.762,0.8388,0.8799,0.874,0.8888,0.9046,0.943,0.9468,0.9535,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.8468,0.7859,0.7946,0.8213,0.8743,0.8563,0.8171,0.8821,0.9248,0.9413,0.9427,0.9535,nan,nan,nan,nan,nan,nan,nan,nan
0.7892,0.7391,0.7482,0.749,0.8038,0.8,0.7836,0.836,0.8376,0.8877,0.9075,0.9389,0.9497,nan,nan,nan,nan,nan,nan,nan
0.7255,0.6758,0.683,0.7363,0.7695,0.7952,0.6554,0.798,0.8064,0.8197,0.8744,0.9111,0.9303,0.9467,nan,nan,nan,nan,nan,nan
0.6788,0.6764,0.6049,0.7051,0.7425,0.7721,0.5921,0.7589,0.7963,0.7108,0.8225,0.8255,0.9273,0.9375,0.9445,nan,nan,nan,nan,nan
0.5982,0.5756,0.5772,0.6305,0.6589,0.7273,0.5033,0.7218,0.7153,0.6597,0.7004,0.7144,0.8816,0.9091,0.9138,0.9427,nan,nan,nan,nan
0.5491,0.5471,0.5314,0.6602,0.7118,0.6808,0.5159,0.7088,0.6833,0.6611,0.7593,0.6401,0.8617,0.8802,0.8678,0.9214,0.9385,nan,nan,nan
0.5665,0.5573,0.4988,0.5506,0.6485,0.6702,0.5173,0.6529,0.5921,0.6416,0.7251,0.593,0.8138,0.8721,0.8459,0.884,0.9271,0.9391,nan,nan
0.6742,0.6259,0.5301,0.5639,0.7023,0.6698,0.6148,0.7137,0.6408,0.6601,0.7293,0.7541,0.7934,0.8424,0.8658,0.8782,0.9057,0.9095,0.9399,nan
0.6647,0.5404,0.5539,0.5416,0.6359,0.6948,0.645,0.6205,0.6014,0.6296,0.7299,0.7204,0.7412,0.7975,0.7903,0.8526,0.8805,0.8829,0.8892,0.9332
