0.9829,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.9615,0.9726,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.9558,0.9649,0.9694,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.9398,0.9555,0.9571,0.9658,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.9389,0.9479,0.9575,0.9592,0.9666,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.9292,0.9412,0.9417,0.9501,0.9569,0.9633,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.9039,0.9049,0.9292,0.9367,0.9444,0.958,0.9607,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.8365,0.8639,0.8598,0.8976,0.888,0.9446,0.948,0.9577,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.813,0.848,0.8553,0.8737,0.8885,0.9339,0.9339,0.9422,0.9522,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.7967,0.8004,0.772,0.8055,0.8255,0.8977,0.9003,0.924,0.9366,0.9505,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.741,0.7411,0.7256,0.7782,0.824,0.8674,0.8846,0.8712,0.9219,0.9279,0.9504,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.7091,0.7355,0.7501,0.7707,0.7908,0.8472,0.8442,0.7708,0.8987,0.9066,0.9406,0.9475,nan,nan,nan,nan,nan,nan,nan,nan
0.671,0.7248,0.736,0.715,0.732,0.7993,0.8373,0.8025,0.8586,0.8627,0.9276,0.9332,0.9457,nan,nan,nan,nan,nan,nan,nan
0.6155,0.656,0.6842,0.6708,0.7202,0.7831,0.6982,0.767,0.8406,0.8374,0.9024,0.8742,0.8838,0.9432,nan,nan,nan,nan,nan,nan
0.6264,0.6701,0.6377,0.6596,0.6959,0.7693,0.7113,0.7548,0.8326,0.783,0.8652,0.8606,0.8873,0.9219,0.9428,nan,nan,nan,nan,nan
0.5852,0.5833,0.6059,0.6636,0.6746,0.7183,0.5346,0.6534,0.7546,0.6707,0.8041,0.753,0.8622,0.8883,0.9091,0.9351,nan,nan,nan,nan
0.5535,0.5729,0.5783,0.6262,0.6536,0.6594,0.5052,0.582,0.7238,0.6631,0.7626,0.6704,0.815,0.862,0.8737,0.9225,0.9379,nan,nan,nan
0.565,0.6314,0.5761,0.5948,0.5478,0.6808,0.5747,0.6259,0.6763,0.6853,0.7738,0.7361,0.7765,0.8529,0.8662,0.9008,0.9167,0.9357,nan,nan
0.5694,0.639,0.5283,0.6183,0.5577,0.6002,0.621,0.638,0.6377,0.7162,0.7216,0.7325,0.7434,0.7674,0.8685,0.8854,0.8911,0.9222,0.931,nan
0.5113,0.6309,0.4661,0.585,0.4911,0.6018,0.6725,0.6322,0.5505,0.7021,0.7297,0.7145,0.7714,0.7534,0.8341,0.8393,0.8611,0.8922,0.8986,0.9256
